"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-nc"
"07/18/2019 12:23:07:505 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"30","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6324876015507208","0.3748644494220102","0.18724716975513922","0.17875122381403286","193","107"
"32","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6773532223423334","0.3148496469292913","0.17220119353158378","0.16054980093633187","207","93"
"31","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.6320552784651127","0.37819519010717734","0.17911190241345218","0.17349281894502797","184","116"
"33","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5885084811879973","0.41572792569968475","0.20337707993409015","0.2006052590967046","176","124"
"35","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.7325811395912425","0.26141545271260475","0.11090787123480725","0.10214051811318445","219","81"
"34","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.7525504416535561","0.25733201027576885","0.10253691924597005","0.10206241683515162","229","71"
"36","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.5518853047646629","0.46334875080309956","0.2341354677466993","0.2296931110381147","167","133"
"37","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.4384455448339596","0.5583570669791775","0.2140889338494891","0.2051631294522723","141","159"
"38","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.3768727169782494","0.6333768576898745","0.22126714388215546","0.2083046136297011","114","186"
"40","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.717238049287742","0.2871884831544725","0.15079309942233962","0.14615868197756798","221","79"
"39","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.3635974709326085","0.6337920536282756","0.18478835828273527","0.20158349065091458","104","196"
"41","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.578254961152049","0.4330978323932463","0.21752070080681635","0.23224577362001905","176","124"
"42","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.40523673830848067","0.5968702427455903","0.19310996151267418","0.19782847141254023","120","180"
