"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-env"
"07/17/2019 13:31:49:975 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"30","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19524107029667984","0.7960839839940967","0.04835120064897332","0.049901764523645475","0","300"
"31","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19926872819371957","0.7984206540745642","0.04714486884838635","0.048560567010178815","0","300"
"35","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19941569320777347","0.7990966125960185","0.05262024617207725","0.051495556993034534","0","300"
"32","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19582995161441355","0.8016325112807252","0.04909301683288342","0.04890248210814029","0","300"
"33","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20013299590240025","0.8028979266305388","0.04841122651513172","0.048962060452486154","0","300"
"34","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2001192098372376","0.8035236124810821","0.051659825208716745","0.05123415588863198","0","300"
"36","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20110822924510577","0.8000383002874631","0.04874951021583685","0.048417276043113903","0","300"
"37","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20045285399241336","0.7980811984601738","0.048062054820809066","0.0522507665354684","0","300"
"38","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2003237742049137","0.805090163068972","0.04840563517910792","0.04992680714903266","0","300"
"39","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19846559165353053","0.7999976761681329","0.051194076778595624","0.05021734023432582","0","300"
"40","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2000905391643981","0.7957594556493585","0.0523130359186661","0.04952917357908089","0","300"
"41","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20257264969202127","0.7989707021515632","0.05218796511840702","0.05019598260856613","0","300"
"42","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19816387237841654","0.8037079219732525","0.05233679240547432","0.050239862150042607","0","300"
"44","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20111227891114633","0.8047598611309645","0.04652786419383095","0.04865975187238113","0","300"
"43","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19704940097492743","0.8016052173679098","0.05137616443793129","0.050395944626001755","0","300"
"45","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2031483063119997","0.7956626142810593","0.04905588348208501","0.05105314366933977","0","300"
"47","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19946020549275761","0.8022220069437386","0.04979623044101039","0.04821546295845734","0","300"
"46","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1934825730489286","0.7954782462168185","0.045409765093207884","0.04706908900755014","0","300"
"49","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2032933505368573","0.8008780172886447","0.05237880926818011","0.0544481301557733","0","300"
"48","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19859587854637212","0.7971122656105724","0.051092509770041525","0.05037336791662192","0","300"
"50","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19636550797773336","0.7878214480353505","0.0507146729919239","0.05077140634961852","0","300"
