"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-pro"
"07/22/2019 12:01:42:831 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"29","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19946078967001865","0.7948269899432205","0.04760594183881196","0.05352155571928701","56","244"
"30","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20024746678172908","0.7945869022690966","0.05231537267442267","0.05070627258738549","43","257"
"33","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20087192653875013","0.7969665899641011","0.04969520786562937","0.05177010461856854","64","236"
"32","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19555427071936207","0.7968282349917589","0.05086973374578708","0.04627818451528969","56","244"
"35","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20387227111011838","0.7882704598803656","0.050262304689265666","0.04909621785561976","45","255"
"34","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20201722739947425","0.7921366218374614","0.048274609187034474","0.051215324766333656","48","252"
"38","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20160169889348117","0.7991663714465439","0.05009683318384967","0.05119710677407167","54","246"
"36","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20104347833196892","0.7905281640750652","0.050405239706348984","0.049125926237922016","46","254"
"39","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20286422202443039","0.8015048542670199","0.05034407043427613","0.049529880665806665","34","266"
"37","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20404848528920688","0.7924780695275806","0.05035239700196226","0.04715595337001677","57","243"
"40","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19806090497487577","0.7984461596588713","0.04659009213227768","0.05011450800790337","58","242"
"43","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.199023053878457","0.7946280455531547","0.05119909341164876","0.05380798955977509","45","255"
"41","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19803156050331738","0.7930031911341264","0.050933338050003746","0.05785644694014112","48","252"
"42","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2021494090188819","0.7965275577635993","0.048958019357380256","0.04844906019578613","49","251"
"46","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20119985346434294","0.7968270553511302","0.05064440275315506","0.05101082341602562","44","256"
"45","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19614799756091686","0.7997282093240944","0.05080043169421993","0.05376431162961292","47","253"
"44","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19811115251652894","0.796274225342921","0.04870849798155016","0.04818509770911917","57","243"
"47","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20183001806209402","0.7959083426385432","0.04529541888753357","0.05065030563131915","59","241"
"48","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19824126133754194","0.79518802502203","0.04747213733448098","0.053516220191548884","40","260"
"49","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1991118573100263","0.7994106261465587","0.0503777563325262","0.050954427196189464","45","255"
"50","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19442695086186337","0.8014217331504621","0.05025944694086382","0.04902607458096013","36","264"
"51","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.199742624949665","0.7993202351143813","0.047201938294955614","0.05235658507308703","49","251"
"52","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2036552644098068","0.7962749656836333","0.04927075126800229","0.05329158732989988","51","249"
"53","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19967637394011123","0.7942178735049925","0.051975642593037996","0.05081437167738026","65","235"
"54","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19781177510089365","0.7958464128881275","0.04848612209011992","0.05200708113394034","41","259"
"55","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2004875561014611","0.7988052618634836","0.049875302311425056","0.05249310651769422","52","248"
"56","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2034833146842838","0.8025023779836526","0.0496141206223883","0.05214419482661502","38","262"
"57","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19915416235126973","0.7950411278272347","0.0496735573888419","0.053684153979983294","50","250"
"58","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.197211376403094","0.7956341389963414","0.051471294549448425","0.050240648320809655","49","251"
"59","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20025883415065543","0.7952379078187777","0.04921833535311374","0.04872639663831257","50","250"
"60","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20229315863513322","0.7955178041314138","0.051359726534495546","0.051861922287337256","46","254"
"61","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2021099769366202","0.7989484032539377","0.050317004439046235","0.05074000840410222","46","254"
"62","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2014413998352524","0.7954457579040638","0.04785420102708172","0.05116890584549723","50","250"
"63","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19954429331641543","0.7971645010508249","0.05037413740076495","0.05180465395598272","53","247"
"64","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19808552029573137","0.8018122731981389","0.05016459409643742","0.04994345258135317","41","259"
"73","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19976841132988024","0.7985568326952993","0.04944496988725498","0.04686198561089172","43","257"
"65","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20056755284905242","0.7977752545152288","0.05040474564469981","0.05260088103319295","51","249"
"74","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19216401415039192","0.798432150573883","0.050239498865946995","0.052752824358786","36","264"
"67","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1943274349250162","0.7996358748999197","0.050113705774378","0.05037023039124317","49","251"
"66","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19923777505068963","0.8026755923878309","0.05166741216637801","0.053037174518452544","52","248"
"68","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2018871389572553","0.7985579873237731","0.05071612533559112","0.051294404542249115","40","260"
