"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-asoc"
"07/22/2019 09:33:27:297 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"33","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5889949665869638","0.41862006553587394","0.20648019926360486","0.20020371423861832","167","133"
"31","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.542170539749995","0.4589538165651075","0.21116750293342615","0.21492291138604375","163","137"
"32","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.46025959603890176","0.53829971419704","0.23253110379734065","0.22909095507538776","129","171"
"34","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5254724145790937","0.47384573329268953","0.19208319193842827","0.19880058536124595","165","135"
"35","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3468573598024533","0.6657411127962326","0.1877700315470158","0.1829626348594163","111","189"
"36","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4805616585774165","0.5281978705489245","0.2264541342543768","0.22332581272995175","134","166"
"37","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5625190206963796","0.4390227278993022","0.2088720973093648","0.21002816893861287","166","134"
"38","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4051553249400657","0.5981785784480458","0.19766658226567188","0.19781858102545993","122","178"
"40","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3710475303934891","0.6188451101330555","0.21758425490856168","0.21801282457348103","104","196"
"41","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.7162626850220861","0.2739713670769235","0.11888482061967563","0.10691763253950785","224","76"
