"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Copenhagen timeseries batch"
"07/31/2019 13:52:15:321 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","networks","initial-pro","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","rseed","asocial-learning","mu","number-of-agents","construct-pro","pro-amount","[step]","pro-behavior","non-behavior","mean [pro-env] of turtles","mean [non-env] of turtles"
"37","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","61","239","0.24948095082485192","0.7533257047026906"
"38","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","47","253","0.19807814127834586","0.8033088558585945"
"39","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","59","241","0.1993675508547679","0.7677120684769739"
"40","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","32","268","0.2192953129833422","0.8038209740302924"
"41","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","57","243","0.19899651435376767","0.7565257774134498"
"42","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","49","251","0.19826800174463616","0.7976923205680979"
"43","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","67","233","0.23493924053320872","0.8034802709898197"
"44","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","48","252","0.20609694120007707","0.8000928747076782"
"45","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","51","249","0.208187423869489","0.8020853057542175"
"46","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","54","246","0.19893388807436868","0.7957999997832865"
"47","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","54","246","0.2313851044770891","0.7965401432888044"
"49","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","48","252","0.20328821205037537","0.8063208865129275"
"48","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","58","242","0.2930873877845976","0.8019781940424598"
"50","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","50","250","0.20088983562012563","0.749255400685132"
"51","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","56","244","0.19434425700778227","0.7892310128710144"
"52","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","49","251","0.19993297445473684","0.7558518207722723"
"53","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","84","216","0.33829450205742106","0.7589783436275691"
"54","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","57","243","0.20203762098805034","0.7981427758728687"
"57","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","48","252","0.22772091177108866","0.7791560370329653"
"60","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","70","230","0.20318762664548967","0.7508161322897572"
"56","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","61","239","0.22587261614491358","0.7995477874878311"
"55","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","53","247","0.20240960226362512","0.8010297774255416"
"59","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","64","236","0.20086453841497112","0.7583159123848889"
"61","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","63","237","0.25399276874547494","0.7918734556224901"
"58","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.1","0.4","17885","54","246","0.23660419280058595","0.7227403345037794"
"62","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","56","244","0.24294190273097505","0.8044749808251004"
