[run number],number-of-agents,pro-amount,initial-pro,initial-non,construct-pro,construct-non,social-learning,asocial-learning,network-param,network-type,mu,mutate-on?,rseed,random-seed?,networks,niche-construction,random-seed,[step],pro-behavior,siminputrow
1,854.89131,0.51309,0.52461,0.428,7.5558,2.27593,7.6e-4,4.7e-4,6.01726,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,731,1
1,100.41441,0.4147,0.48386,0.55932,2.5863,9.81031,3.8e-4,7.3e-4,6.2778,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,8,2
1,272.97639,0.39044,0.50244,0.40309,4.03934,1.91649,4.5e-4,4.8e-4,3.7859,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,40,3
1,299.57401,0.63285,0.4595,0.469,5.09864,1.39097,6.6e-4,3.4e-4,4.43013,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,268,4
1,885.61513,0.43154,0.42753,0.62236,7.81786,3.32509,3e-4,7.8e-4,5.77819,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,134,5
1,639.03535,0.36518,0.43361,0.61313,5.6163,6.45812,6e-4,2.1e-4,4.30653,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,39,6
1,904.16751,0.48824,0.46834,0.60688,5.23088,7.67711,4.3e-4,7.4e-4,5.18402,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,106,7
1,374.02119,0.37469,0.64217,0.60319,7.77332,9.79866,7.5e-4,5e-4,4.41164,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,29,8
1,866.35977,0.63661,0.57282,0.53017,7.03798,1.7153,6.1e-4,2.8e-4,6.29939,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,805,9
1,747.50301,0.57298,0.65906,0.62314,6.79551,8.87437,5.6e-4,5.4e-4,5.91603,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,649,10
1,382.2546,0.60667,0.61208,0.60007,4.06741,6.41772,5.6e-4,7.6e-4,5.47967,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,337,11
1,411.62782,0.57357,0.41949,0.3596,5.99133,0.79835,6.4e-4,6.3e-4,4.61135,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,373,12
1,152.50433,0.37833,0.52974,0.54765,1.95839,6.58994,2.6e-4,7.7e-4,4.78696,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,16,13
1,265.04442,0.49887,0.49978,0.5354,1.19297,1.84775,3.5e-4,7.6e-4,5.0347,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,36,14
1,171.44174,0.54757,0.38659,0.59009,1.33126,5.82793,7.8e-4,7.2e-4,5.76074,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,24,15
1,887.61961,0.46247,0.6067,0.50789,2.64862,8.51882,5.7e-4,7e-4,6.76008,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,348,16
1,286.08936,0.62032,0.63962,0.53819,2.15847,2.26103,7.3e-4,7.9e-4,6.1153,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,248,17
1,844.12748,0.62779,0.39346,0.41892,0.74129,1.95739,2.8e-4,7.1e-4,3.00574,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,752,18
1,313.17602,0.52711,0.34684,0.65822,9.42682,2.39791,4.7e-4,5.5e-4,6.42913,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,77,19
1,583.46604,0.54079,0.44282,0.39431,2.08321,6.6299,2.7e-4,7.9e-4,4.16293,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,481,20
1,233.04684,0.56305,0.52294,0.38462,2.773,8.09098,6e-4,4e-4,5.11421,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,193,21
1,633.94098,0.4414,0.3742,0.48582,9.06226,1.99349,7.1e-4,6.7e-4,6.82715,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,120,22
1,539.13999,0.40879,0.48012,0.4474,3.80075,9.95013,5.7e-4,7.3e-4,6.96689,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,54,23
1,576.87406,0.45914,0.51776,0.39507,6.6776,0.29522,3.5e-4,3.3e-4,4.12607,KE,0.9,FALSE,0,FALSE,TRUE,TRUE,5642,2000,485,24
